SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,Familiarity,Artist_Mbid,Artist_PlaymeId,Artist_7didId,Hottness,Song_Hottness,7digitalid,A_Sample_Rate,Audio_Md5,End_Of_Fade_In,Energy,Loudness,Mode,Mode_Conf,Start_Of_Fade_Out,TrackId
"SOFRDWL12A58A7CEF7",563858,"A Bad Azz Mix Tape IV","AR9Q9YC1187FB5609B",,"New Jersey",,"Quest_ Pup_ Kevo",0.0,252.94322,6,0.063,161.99,4,0.253,"Hit Da Scene",0,0.0131579730569,"c5128948-7854-4418-a8d5-e3fc8d57c881",194909,"ERR",0.379282374332,,"ERR",22050,"0d744f90fb48e32cd64556a4c8609ace",0.0,0.0,-7.227,0,0.4,247.455,"TRAAACN128F9355673"
"SOMZWCG12A8C13C480",300848,"Fear Itself","ARD7TVE1187B99BFB1",,"California - LA",,"Casual",0.0,218.93179,1,0.736,92.198,4,0.778,"I Didnt Mean To",0,0.581793765845,"e77e51a5-4761-45b3-9847-2051f811e366",4479,"ERR",0.401997543364,0.602119989906,"ERR",22050,"a222795e07cd65b7a530f1346f520649",0.247,0.0,-11.197,0,0.636,218.932,"TRAAAAW128F429D538"
"SONRWUU12AF72A4283",279219,"Bring Ya To The Brink","ARGE7G11187FB37E05",,"Brooklyn NY",,"Cyndi Lauper",0.0,240.63955,9,0.608,123.989,4,0.8,"Into The Nightlife",2008,0.712886029823,"7bd9e20e-74b9-446a-a2ed-a223f82a36e7",382,"ERR",0.55925726175,,"ERR",22050,"7573fabe891b25bcd3c5866e4c5df1f0",4.487,0.0,-7.322,0,0.495,240.64,"TRAAAGR128F425B14B"
"SOUCVHW12AB018E830",763937,"I Dont Speak The Language","ARJJ8611187FB5321F",40.79086,"New York NY [Manhattan]",-73.96644,"Matthew Wilder",0.0,184.47628,10,0.456,110.129,4,0.711,"Break My Stride",1983,0.546101817437,"471e21ab-7a14-4190-a9d2-f95197616df4",36027,"ERR",0.383786778738,,"ERR",22050,"facaf1c26c48d98e6b20c54b4d02051",0.682,0.0,-11.137,1,0.442,167.607,"TRAAAZF12903CCCF6B"
"SOGVJUR12A8C13485C",87659,"It Could Ruin Your Day","ARLB9PJ1187B9AC984",,"",,"Chokebore",0.0,163.99628,7,0.291,179.677,4,1.0,"Popular Modern Themes",1996,0.564625549161,"e7680f97-5a8b-48d4-8c36-a0e1f01bf239",154556,"ERR",0.374066127659,,"ERR",22050,"cfd48f2cc45ba588485031959cc79e28",0.0,0.0,-10.212,1,0.51,156.526,"TRAAAYX128F4263BC0"
"SOZIULX12A8AE46C39",136767,"Surrender!","ARGO8611187B990AF9",64.55653,"Charleston SC",12.66538,"Super Deluxe",0.0,222.35383,5,0.763,100.812,4,0.0,"Come On (Album Version)",0,0.531334211069,"c795a5df-7327-4375-b39f-89b6141b827f",-1,"ERR",0.33828981594,,"ERR",22050,"ce98ef30679c3bd17c4ea71da84ac9e0",3.471,0.0,-5.232,1,0.55,213.206,"TRAAACV128F423E09E"
"SOBLFFE12AF72AA5BA",497103,"Adelitas Way","ARJNIUY12298900C91",,"",,"Adelitas Way",0.0,213.9424,1,0.349,99.944,4,0.846,"Scream",2009,0.639902515496,"6ae6a016-91d7-46cc-be7d-5e8e5d320c54",166043,"ERR",0.461318337541,0.733371619962,"ERR",22050,"7b6557889cc46b202300a4baf902e229",0.0,0.0,-4.769,1,0.403,210.048,"TRAAAAK128F9318786"
"SOROXIB12A8C135F80",152405,"Much Loved Music (Vols. 1 & 2)","ARKTJBI1257509B72E",,"",,"Halle/Hughes",0.0,296.46322,7,0.685,165.398,4,0.402,"Valse Triste (Kuolema Op 44)",0,0.480114339409,"",-1,"ERR",0.295156623536,,"ERR",22050,"509305a801621d64e3aa7507d2674554",16.985,0.0,-32.411,1,0.61,262.792,"TRAAAKO128F426441E"
"SONHOTT12A8C13493C",287650,"Friend Or Foe","AR7G5I41187FB4CE6C",,"London England",,"Adam Ant",0.0,233.40363,0,0.751,119.293,4,0.0,"Something Girls",1982,0.630382334147,"e188a520-9cb7-4f73-a3d7-2f70c6538e92",12697,"ERR",0.454231156571,,"ERR",22050,"43cd1abd45d5a2dda16a3c65b4963bd4",0.0,0.0,-9.013,1,0.749,217.124,"TRAAAEF128F4273421"
"SOHOZBI12A8C132E3C",104925,"Survival Sickness","AR0MWD61187B9B2B12",,"",,"International Noise Conspiracy",0.0,195.39546,0,0.451,148.957,4,0.144,"Smash It Up",2000,0.692989555403,"97da5eb3-79a5-4195-b98e-3d10ef946b08",-1,"ERR",0.41428334313,0.767828738594,"ERR",22050,"949d74e412aadc2ed040eff9539a64ce",2.305,0.0,-8.598,1,0.375,184.953,"TRAAAUR128F428B1FA"
