PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
892,3,Mr,male,1,0,0,UNKNOWN,7.8292,0,Q
893,3,Mrs,female,1,1,0,UNKNOWN,7,0,S
894,2,Mr,male,0,0,0,UNKNOWN,9.6875,0,Q
895,3,Mr,male,1,0,0,UNKNOWN,8.6625,0,S
896,3,Mrs,female,1,1,1,UNKNOWN,12.2875,0,S
897,3,Mr,male,0,0,0,UNKNOWN,9.225,0,S
898,3,Miss,female,1,0,0,UNKNOWN,7.6292,0,Q
899,2,Mr,male,1,1,1,UNKNOWN,29,0,S
900,3,Mrs,female,1,0,0,UNKNOWN,7.2292,0,C
901,3,Mr,male,1,2,0,A/4,24.15,0,S
902,3,Mr,male,-1,0,0,UNKNOWN,7.8958,0,S
903,1,Mr,male,1,0,0,UNKNOWN,26,0,S
904,1,Mrs,female,1,1,0,UNKNOWN,82.2667,1,S
905,2,Mr,male,0,1,0,UNKNOWN,26,0,S
906,1,Mrs,female,1,1,0,W.E.P.,61.175,1,S
907,2,Mrs,female,1,1,0,SC/PARIS,27.7208,0,C
908,2,Mr,male,1,0,0,UNKNOWN,12.35,0,Q
909,3,Mr,male,1,0,0,UNKNOWN,7.225,0,C
910,3,Miss,female,1,1,0,STON/O2.,7.925,0,S
911,3,Mrs,female,1,0,0,UNKNOWN,7.225,0,C
912,1,Mr,male,1,1,0,PC,59.4,0,C
913,3,Master,male,0,0,1,C,3.1708,0,S
914,1,Mrs,female,-1,0,0,PC,31.6833,0,S
915,1,Mr,male,1,0,1,PC,61.3792,0,C
916,1,Mrs,female,1,1,3,PC,262.375,4,C
917,3,Mr,male,1,1,0,A/5.,14.5,0,S
918,1,Miss,female,1,0,1,UNKNOWN,61.9792,1,C
919,3,Mr,male,1,0,0,UNKNOWN,7.225,0,C
920,1,Mr,male,1,0,0,UNKNOWN,30.5,1,S
921,3,Mr,male,-1,2,0,UNKNOWN,21.6792,0,C
922,2,Mr,male,1,1,0,SC/AH,26,0,S
923,2,Mr,male,1,2,0,C.A.,31.5,0,S
924,3,Mrs,female,1,1,2,C.A.,20.575,0,S
925,3,Mrs,female,-1,1,2,W./C.,23.45,0,S
926,1,Mr,male,1,1,0,UNKNOWN,57.75,1,C
927,3,Mr,male,1,0,0,UNKNOWN,7.2292,0,C
928,3,Miss,female,-1,0,0,UNKNOWN,8.05,0,S
929,3,Miss,female,1,0,0,UNKNOWN,8.6625,0,S
930,3,Mr,male,1,0,0,UNKNOWN,9.5,0,S
931,3,Mr,male,-1,0,0,UNKNOWN,56.4958,0,S
932,3,Mr,male,1,0,1,UNKNOWN,13.4167,0,C
933,1,Mr,male,-1,0,0,UNKNOWN,26.55,1,S
934,3,Mr,male,1,0,0,SOTON/O.Q.,7.85,0,S
935,2,Mrs,female,1,0,0,UNKNOWN,13,0,S
936,1,Mrs,female,1,1,0,UNKNOWN,52.5542,1,S
937,3,Mr,male,1,0,0,STON/O,7.925,0,S
938,1,Mr,male,1,0,0,PC,29.7,1,C
939,3,Mr,male,-1,0,0,UNKNOWN,7.75,0,Q
940,1,Mrs,female,1,0,0,UNKNOWN,76.2917,1,C
941,3,Mrs,female,1,0,2,C.A.,15.9,0,S
942,1,Mr,male,1,1,0,UNKNOWN,60,1,S
943,2,Mr,male,1,0,0,SC/PARIS,15.0333,0,C
944,2,Miss,female,1,2,1,UNKNOWN,23,0,S
945,1,Miss,female,1,3,2,UNKNOWN,263,3,S
946,2,Mr,male,-1,0,0,SC/A.3,15.5792,0,C
947,3,Master,male,0,4,1,UNKNOWN,29.125,0,Q
948,3,Mr,male,1,0,0,UNKNOWN,7.8958,0,S
949,3,Mr,male,1,0,0,UNKNOWN,7.65,2,S
950,3,Mr,male,-1,1,0,UNKNOWN,16.1,0,S
951,1,Miss,female,1,0,0,PC,262.375,1,C
952,3,Mr,male,0,0,0,UNKNOWN,7.8958,0,S
953,2,Mr,male,1,0,0,UNKNOWN,13.5,0,S
954,3,Mr,male,1,0,0,UNKNOWN,7.75,0,S
955,3,Miss,female,1,0,0,UNKNOWN,7.725,0,Q
956,1,Master,male,0,2,2,PC,262.375,4,C
957,2,Mrs,female,-1,0,0,F.C.C.,21,0,S
958,3,Miss,female,1,0,0,UNKNOWN,7.8792,0,Q
959,1,Mr,male,1,0,0,UNKNOWN,42.4,0,S
960,1,Mr,male,1,0,0,UNKNOWN,28.5375,1,C
961,1,Mrs,female,1,1,4,UNKNOWN,263,3,S
962,3,Miss,female,1,0,0,UNKNOWN,7.75,0,Q
963,3,Mr,male,1,0,0,UNKNOWN,7.8958,0,S
964,3,Miss,female,1,0,0,UNKNOWN,7.925,0,S
965,1,Mr,male,1,0,0,PC,27.7208,1,C
966,1,Miss,female,1,0,0,UNKNOWN,211.5,1,C
967,1,Mr,male,1,0,0,UNKNOWN,211.5,1,C
968,3,Mr,male,-1,0,0,UNKNOWN,8.05,0,S
969,1,Mrs,female,1,2,0,UNKNOWN,25.7,1,S
970,2,Mr,male,1,0,0,UNKNOWN,13,0,S
971,3,Miss,female,1,0,0,UNKNOWN,7.75,0,Q
972,3,Master,male,0,1,1,UNKNOWN,15.2458,0,C
973,1,Mr,male,0,1,0,PC,221.7792,2,S
974,1,Mr,male,1,0,0,UNKNOWN,26,0,S
975,3,Mr,male,-1,0,0,UNKNOWN,7.8958,0,S
