@relation train02-15_17-16-32

@attribute PassengerId numeric
@attribute Survived {0,1}
@attribute Pclass numeric
@attribute Name {Mr,Mrs,Miss,Master,Don,Rev,Dr,Mme,Ms,Major,Lady,Sir,Mlle,Col,Capt,'the Countess',Jonkheer}
@attribute Sex {male,female}
@attribute Age {-1,0,1}
@attribute SibSp numeric
@attribute Parch numeric
@attribute Ticket {A/5,PC,STON/O2.,PP,A/5.,C.A.,A./5.,SC/Paris,S.C./A.4.,A/4.,CA,S.P.,S.O.C.,SO/C,W./C.,SOTON/OQ,W.E.P.,STON/O,A4.,C,SOTON/O.Q.,SC/PARIS,S.O.P.,A.5.,Fa,CA.,LINE,F.C.C.,W/C,SW/PP,SCO/W,P/PP,SC,SC/AH,A/S,A/4,WE/P,S.W./PP,S.O./P.P.,F.C.,SOTON/O2,S.C./PARIS,C.A./SOTON}
@attribute Fare numeric
@attribute Cabin numeric
@attribute Embarked {S,C,Q}

@data
1,0,3,Mr,male,1,1,0,A/5,7.25,0,S
2,1,1,Mrs,female,1,1,0,PC,71.2833,1,C
3,1,3,Miss,female,1,0,0,STON/O2.,7.925,0,S
4,1,1,Mrs,female,1,1,0,?,53.1,1,S
5,0,3,Mr,male,1,0,0,?,8.05,0,S
6,0,3,Mr,male,-1,0,0,?,8.4583,0,Q
7,0,1,Mr,male,1,0,0,?,51.8625,1,S
8,0,3,Master,male,0,3,1,?,21.075,0,S
9,1,3,Mrs,female,1,0,2,?,11.1333,0,S
10,1,2,Mrs,female,0,1,0,?,30.0708,0,C
11,1,3,Miss,female,0,1,1,PP,16.7,1,S
12,1,1,Miss,female,1,0,0,?,26.55,1,S
13,0,3,Mr,male,1,0,0,A/5.,8.05,0,S
14,0,3,Mr,male,1,1,5,?,31.275,0,S
15,0,3,Miss,female,0,0,0,?,7.8542,0,S
16,1,2,Mrs,female,1,0,0,?,16,0,S
17,0,3,Master,male,0,4,1,?,29.125,0,Q
18,1,2,Mr,male,-1,0,0,?,13,0,S
19,0,3,Mrs,female,1,1,0,?,18,0,S
20,1,3,Mrs,female,-1,0,0,?,7.225,0,C
21,0,2,Mr,male,1,0,0,?,26,0,S
22,1,2,Mr,male,1,0,0,?,13,1,S
23,1,3,Miss,female,0,0,0,?,8.0292,0,Q
24,1,1,Mr,male,1,0,0,?,35.5,1,S
25,0,3,Miss,female,0,3,1,?,21.075,0,S
26,1,3,Mrs,female,1,1,5,?,31.3875,0,S
27,0,3,Mr,male,-1,0,0,?,7.225,0,C
28,0,1,Mr,male,1,3,2,?,263,3,S
29,1,3,Miss,female,-1,0,0,?,7.8792,0,Q
30,0,3,Mr,male,-1,0,0,?,7.8958,0,S
31,0,1,Don,male,1,0,0,PC,27.7208,0,C
32,1,1,Mrs,female,-1,1,0,PC,146.5208,1,C
33,1,3,Miss,female,-1,0,0,?,7.75,0,Q
34,0,2,Mr,male,0,0,0,C.A.,10.5,0,S
35,0,1,Mr,male,1,1,0,PC,82.1708,0,C
36,0,1,Mr,male,1,1,0,?,52,0,S
37,1,3,Mr,male,-1,0,0,?,7.2292,0,C
38,0,3,Mr,male,1,0,0,A./5.,8.05,0,S
39,0,3,Miss,female,1,2,0,?,18,0,S
40,1,3,Miss,female,0,1,0,?,11.2417,0,C
41,0,3,Mrs,female,1,1,0,?,9.475,0,S
42,0,2,Mrs,female,1,1,0,?,21,0,S
43,0,3,Mr,male,-1,0,0,?,7.8958,0,C
44,1,2,Miss,female,0,1,2,SC/Paris,41.5792,0,C
45,1,3,Miss,female,1,0,0,?,7.8792,0,Q
46,0,3,Mr,male,-1,0,0,S.C./A.4.,8.05,0,S
47,0,3,Mr,male,-1,1,0,?,15.5,0,Q
48,1,3,Miss,female,-1,0,0,?,7.75,0,Q
49,0,3,Mr,male,-1,2,0,?,21.6792,0,C
50,0,3,Mrs,female,1,1,0,?,17.8,0,S
51,0,3,Master,male,0,4,1,?,39.6875,0,S
52,0,3,Mr,male,1,0,0,A/4.,7.8,0,S
53,1,1,Mrs,female,1,1,0,PC,76.7292,1,C
54,1,2,Mrs,female,1,1,0,?,26,0,S
55,0,1,Mr,male,0,0,1,?,61.9792,1,C
56,1,1,Mr,male,-1,0,0,?,35.5,1,S
57,1,2,Miss,female,1,0,0,C.A.,10.5,0,S
58,0,3,Mr,male,1,0,0,?,7.2292,0,C
59,1,2,Miss,female,0,1,2,C.A.,27.75,0,S
60,0,3,Master,male,0,5,2,CA,46.9,0,S
61,0,3,Mr,male,1,0,0,?,7.2292,0,C
62,1,1,Miss,female,1,0,0,?,80,1,?
63,0,1,Mr,male,1,1,0,?,83.475,1,S
64,0,3,Master,male,0,3,2,?,27.9,0,S
65,0,1,Mr,male,-1,0,0,PC,27.7208,0,C
66,1,3,Master,male,-1,1,1,?,15.2458,0,C
67,1,2,Mrs,female,1,0,0,C.A.,10.5,1,S
68,0,3,Mr,male,1,0,0,S.P.,8.1583,0,S
69,1,3,Miss,female,0,4,2,?,7.925,0,S
70,0,3,Mr,male,1,2,0,?,8.6625,0,S
71,0,2,Mr,male,1,0,0,C.A.,10.5,0,S
72,0,3,Miss,female,0,5,2,CA,46.9,0,S
73,0,2,Mr,male,1,0,0,S.O.C.,73.5,0,S
74,0,3,Mr,male,1,1,0,?,14.4542,0,C
75,1,3,Mr,male,1,0,0,?,56.4958,0,S
76,0,3,Mr,male,1,0,0,?,7.65,2,S
77,0,3,Mr,male,-1,0,0,?,7.8958,0,S
78,0,3,Mr,male,-1,0,0,?,8.05,0,S
79,1,2,Master,male,0,0,2,?,29,0,S
80,1,3,Miss,female,1,0,0,?,12.475,0,S
81,0,3,Mr,male,1,0,0,?,9,0,S
82,1,3,Mr,male,1,0,0,?,9.5,0,S
83,1,3,Miss,female,-1,0,0,?,7.7875,0,Q
84,0,1,Mr,male,1,0,0,?,47.1,0,S
85,1,2,Miss,female,0,0,0,SO/C,10.5,0,S
86,1,3,Mrs,female,1,3,0,?,15.85,0,S
87,0,3,Mr,male,0,1,3,W./C.,34.375,0,S
88,0,3,Mr,male,-1,0,0,SOTON/OQ,8.05,0,S
89,1,1,Miss,female,1,3,2,?,263,3,S
90,0,3,Mr,male,1,0,0,?,8.05,0,S
91,0,3,Mr,male,1,0,0,?,8.05,0,S
92,0,3,Mr,male,1,0,0,?,7.8542,0,S
93,0,1,Mr,male,1,1,0,W.E.P.,61.175,1,S
94,0,3,Mr,male,1,1,2,C.A.,20.575,0,S
95,0,3,Mr,male,1,0,0,?,7.25,0,S
96,0,3,Mr,male,-1,0,0,?,8.05,0,S
97,0,1,Mr,male,0,0,0,PC,34.6542,1,C
98,1,1,Mr,male,1,0,1,PC,63.3583,2,C
99,1,2,Mrs,female,1,0,1,?,23,0,S
100,0,2,Mr,male,1,1,0,?,26,0,S
101,0,3,Miss,female,1,0,0,?,7.8958,0,S
102,0,3,Mr,male,-1,0,0,?,7.8958,0,S
103,0,1,Mr,male,1,0,1,?,77.2875,1,S
104,0,3,Mr,male,1,0,0,?,8.6542,0,S
105,0,3,Mr,male,1,2,0,?,7.925,0,S
106,0,3,Mr,male,1,0,0,?,7.8958,0,S
107,1,3,Miss,female,1,0,0,?,7.65,0,S
108,1,3,Mr,male,-1,0,0,?,7.775,0,S
109,0,3,Mr,male,1,0,0,?,7.8958,0,S
110,1,3,Miss,female,-1,1,0,?,24.15,0,Q
111,0,1,Mr,male,1,0,0,?,52,1,S
112,0,3,Miss,female,0,1,0,?,14.4542,0,C
113,0,3,Mr,male,1,0,0,?,8.05,0,S
114,0,3,Miss,female,1,1,0,?,9.825,0,S
115,0,3,Miss,female,0,0,0,?,14.4583,0,C
116,0,3,Mr,male,1,0,0,STON/O,7.925,0,S
117,0,3,Mr,male,0,0,0,?,7.75,0,Q
118,0,2,Mr,male,1,1,0,?,21,0,S
119,0,1,Mr,male,1,0,1,PC,247.5208,2,C
120,0,3,Miss,female,0,4,2,?,31.275,0,S
121,0,2,Mr,male,1,2,0,S.O.C.,73.5,0,S
122,0,3,Mr,male,-1,0,0,A4.,8.05,0,S
123,0,2,Mr,male,1,1,0,?,30.0708,0,C
124,1,2,Miss,female,1,0,0,?,13,1,S
125,0,1,Mr,male,1,0,1,?,77.2875,1,S
126,1,3,Master,male,0,1,0,?,11.2417,0,C
